Designator,Mid X,Mid Y,Rotation,Layer
C101,134.1,-76.5,90.0,top
C102,132.9,-77.0,90.0,top
C103,136.9,-75.9,270.0,top
C104,138.1,-76.3,270.0,top
C105,135.7,-77.7,90.0,top
C106,129.6,-75.7,270.0,top
C107,130.8,-76.2,270.0,top
C108,127.3,-76.4,0.0,top
C109,119.9,-79.6,270.0,top
C110,127.525,-77.6,0.0,top
C111,121.2,-74.2,0.0,top
D101,123.9,-78.0,270.0,top
J101,130.32,-81.7,90.0,top
PULLUP,132.5,-70.395,0.0,top
R101,128.9,-71.0,0.0,top
R102,128.9,-69.3,0.0,top
R103,124.0,-75.8,180.0,top
U101,135.49995,-75.29995,0.0,top
U102,127.3443,-74.449999,0.0,top
U103,121.2,-77.0,90.0,top
