Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
A101,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
B101,Board_1U_60x60,1,~,
"C201, C202",C_Disc_D4.7mm_W2.5mm_P5.00mm,2,10uF,
C203,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,0.1,
D101,LED_D3.0mm,1,Relay,
D102,LED_D3.0mm,1,STAT,
D103,LED_D3.0mm,1,ERROR,
D104,LED_D3.0mm,1,VPP,
D105,LED_D3.0mm,1,VDD,
J101,JST_XA_S03B-XASK-1_1x03_P2.50mm_Horizontal,1,Servo,
J102,JST_XA_S03B-XASK-1_1x03_P2.50mm_Horizontal,1,Relay,
J103,JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal,1,MotorDriver,
J104,PinSocket_1x10_P2.54mm_Vertical,1,MPU9250,
J105,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PicoBATT+,
J106,JST_XA_S04B-XASK-1_1x04_P2.50mm_Horizontal,1,Tachometer,
J201,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
J202,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Stop,
"R101, R102, R103, R104, R105",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,5,1k,
"R201, R202, R203, R205",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,10k,
R204,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,All 10k,
SW101,SW_PUSH_6mm,1,Reset,
SW102,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_Pico,
SW103,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_BATT,
