Designator,Mid X,Mid Y,Rotation,Layer
,140.7,-110.9,0.0,top
A101,140.0,-62.915,0.0,top
B101,140.21,-76.35,0.0,top
C201,142.0,-93.0,0.0,top
C202,142.0,-96.0,0.0,top
C203,145.0,-100.0,90.0,top
D101,160.45,-86.1,0.0,top
D102,160.47,-77.1,0.0,top
D103,160.45,-81.6,0.0,top
D104,155.6,-53.7,0.0,top
D105,155.63,-61.3,0.0,top
J101,120.7375,-49.5,270.0,top
J102,120.7375,-77.0,270.0,top
J103,120.7375,-63.5,270.0,top
J104,130.57,-99.5,90.0,top
J105,154.5,-47.4,90.0,top
J106,120.7375,-89.75,270.0,top
J201,156.125,-98.225,90.0,top
J202,125.0,-40.5,90.0,top
R101,154.5,-84.1,90.0,top
R102,152.9,-75.06,270.0,top
R103,156.7,-84.1,270.0,top
R104,155.5,-57.5,0.0,top
R105,155.6,-65.1,0.0,top
R201,133.46,-103.0,0.0,top
R202,133.5,-105.5,0.0,top
R203,133.5,-108.0,0.0,top
R204,133.5,-110.5,0.0,top
R205,134.3,-42.5,270.0,top
SW101,158.7,-71.1,180.0,top
SW102,162.6,-61.5,90.0,top
SW103,162.6,-49.7,90.0,top
